person	signature	factoid	year	note
Abbot ("Abbot")	164,13	Robert, Postmaster, Detroit	1806
Abbot ("Abbot"), Detroit merchant	155,2	Bringing favorable news about the treaty	1789
Abbot ("Abbot"), Detroit merchant	155,2	Coming from Pittsburg with mail	1789
Abbot ("Abbot"), Detroit merchant	162,3	To be reported for selling liquor to Indians	1800
Abbot, justice of the peace; Thames River.	171,1	Providing camping ground for travelling Christians	1798
Adams, doctor; Litchfield Co., Conn.	115,7	Protecting the rights of the Indians	1757
Adams, doctor; Litchfield Co., Conn.	115,9	Ref.	1759	(lives between Sichem and Pachgatgoch)
Adams, James.	171,6	Mentally deranged man found in the weeds	1800
Adams, James.	171,6	Brought to Charlestown	1800
Addison (prob.), Alexander, judge; Pittsburg.	177,1	Helpful &amp; friendly to travelling missionaries	1800
Addison, Anglican clergyman; Niagara.	163,7	In charge of services at Brantford, Ont.	1810
Addison, Anglican clergyman; Niagara.	163,7	Ref.	1810
Aderton; Litchfield Co., Conn.	115,6	Having service at his place	1756
Aderton; Litchfield Co., Conn.	115,7	Present at Pachgatgoch services	1757	(living six miles from Pachgatgoch)
Adolph, Jacob.	116,3	Sick	1748
Adolph, Jacob.	116,3	Conversation with Mack	1748
Adolph, Jacob.	116,3	Bled by Pyrlaeus	1748
Adolph, Jacob.	116,3	Involved in same misadventure	1748
Adolph, Jacob.	116,3	Taken to task by Rauch	1748
Adolph, Jacob.	116,3	Returning from Bethlehem	1748
Adolph, Jacob.	116,7	Setting fences	1750
Adolph, Jacob.	116,7	Staking out fields for the Indians	1750
Adolph, Jacob.	116,7	Organizing work on the new land	1750
Adolph, Jacob.	116,7	Having a very unlucky day	1750
Adolph, Jacob.	116,7	Arriving from Bethlehem	1750
Adolph, Jacob.	116,5	Returning from Bethlehem	1749
Adolph, Jacob.	116,5	Helpful to a neighbor	1749
Adolph, Jacob.	116,5	Going to Bethlehem	1749
Adolph, Jacob.	116,5	Ref.	1749
Adolph, Jacob.	116,5	Ref.	1749
Adolph, Jacob.	116,4	Chosen as companion for Seidel	1748
Adolph, Jacob.	116,5	Coming to Gnadenhutten as messenger	1749
Adolph, Jacob.	116,5	Leaving	1749
Adolph, Jacob.	116,5	Coming to Gnadenhutten	1749
Adolph, Jacob.	116,5	Going to Bethlehem	1749
Adolph, Jacob.	116,3	Treated by Rauch for pleurisy	1748
Adolph, Jacob.	116,3	Attending the synod at Bethlehem	1748
Adolph, Jacob.	116,3	Spoken to for some misdemeanor	1748
Adolph, Jacob.	116,3	Tearful interview with Rauch	1748
Adolph, Jacob.	116,3	Discussion of his spiritual situation	1748
Adolph, Jacob.	116,3	Seeking forgiveness	1748
Adolph, Jacob.	116,6	Ref.	1749
Adolph, Jacob.	116,6	Going to Bethlehem	1749
Adolph, Jacob.	116,6	Ref.	1749
Adolph, Jacob.	116,6	Ref.	1749
Adolph, Jacob.	116,7	Coming to work at Gnadenhutten	1750
Adolph, Jacob.	116,2	Going to Bethlehem	1747
Adolph, Jacob.	116,3	Returning from Bethlehem	1748-01-06	st. vet.
Adolph, Jacob.	116,3	Having a lovefeast on his birthday	1748
Adolph, Jacob.	116,3	Trip to Bethlehem	1748
Adolph, Jacob.	116,3	Building a canoe	1748
Adolph, Jacob; Bethlehem.	116,2	Coming to Gnadenhutten	1747
Adolph, Jacob; Bethlehem.	116,2	Coming to the synod	1747
Adolph, Jacob; Bethlehem.	116,2	Arriving at Gnadenhutten	1747
Adolph, Jacob; Bethlehem.	116,2	Helping an Indian build a chimney	1747	st. n.
Adolph, Jacob; Bethlehem.	116,2	Doing carpenter work	1747-10-13	st. vet.
Adolph, Jacob; Bethlehem.	116,2	Interview with Pyrlaeus	1747
Albrecht, Jacob.	175,2	Founder of Evangelical Association	1816
Albrecht, Johann Andreas.	121,6	Remembered for fixing a gun	1754
Albrecht, Johann Andreas.	118,3	Messenger	1755
Albrecht, Johann Andreas.	118,6	Ref. No. 7	1755
Albrecht, Johann Andreas; Bethlehem.	117,3	Visitor at Gnadenhutten	1752
Albrecht, Johann Andreas; Bethlehem.	117,3	Playing the traverse flute	1752
Albrecht, Johann Andreas; Bethlehem.	117,4	Visitor at Gnadenhutten	1753
Albrecht, Johann Andreas; Bethlehem.	117,4	Lovefeast for single brethren on his birthday	1753
Albright, Henry; Litits.	173,6	Escorting Susanna Zeisberger	1809
Alexander; Dutchess Co., New York.	112,6	Acquiring part of the "Little Nine Partners " land No. 5	1744
Allen.	172,2	Tavern keeper at Pittsburg, Pa.	1799
Allen, Ebenezer.	174,3	Possibly ref. to No. 3	1803
Allen, Ebenezer, Delaware; Ont.	172,1	Ref.	1798
Allen, Ebenezer, Delaware; Ont.	172,1	Founder of a settlement in Delaware Tp., Ont.	1798
Allen, James, first clerk for the western district.	162,8	Advising accused Indians to give themselves up	1804
Allen, Mrs.; Milford, Conn.	111,4B	Confused ideas about God	1743
Allen, Mrs.; Milford, Conn.	111,4A	Visitor	1743
Allen, Nathan, living at the Finery.	162,3	Forwarding mail	1800
Allen, Nathan, living at the Finery.	161,2	Overnight guest	1794
Allen, Nathan, living at the Finery.	161,2	Visitor	1794
Allen, Nathan, living at the Finery.	161,2	Visitor at Fairfield	1795
Allen, William, chief justice.	127,4	Hearing a definite declaration from the interned Indians	1765
Allen, William, chief justice.	127,4	Ref.	1765
Allen, William, chief justice.	127,4	b[?]ing the Christian Indians at Nain	1765
Allen, William, chief justice; Philadelphia.	127,2	Been by delegation of interned Indians	1764
Allen, William, chief justice; Philadelphia.	127,2	Issuing a passport	1764
Allen, William, chief justice; Philadelphia.	127,2	Idem	1764
Allen, William, chief justice; Philadelphia.	127,4	Seen by Indian delegation	1765
Allen, William, recorder chief justice; Philadelphia, Pa.	112,4	Acknowledging Moravians as a Protestant Church	1744-08-11	bis
Allen; Milford, Conn.	111,4B	Siding with imprisoned missionaries	1743
Allworth ("Alsworth"), James, Sichem; Litchfield Co., Conn.	115,3	Visitor at Pachgatgoch	1755
Allworth ("Alsworth"), James, Sichem; Litchfield Co., Conn.	115,11	Bringing mail to Pachgatgoch	1761
Almers, Henry; New York.	112,3	Ref.	1744
Ancrum, major.	155,1	Former Governor, remembered	1787
Ancrum, major.	152,2	William, issuing passport for travelling Christians	1786
Ancrum, major.	152,2	Helpful attitude reported to Gen. Harmar	1786
Ancrum, major.	152,2	Former visit remembered	1786
